GeoHipster,Lat-Lon,Location,Photo URL
Glenn Letham,"40.5423342, -105.0812581","Fort Collins, CO","<a href=""https://twitter.com/gletham/status/1119653689310859264"" target=""_blank"">Photo</a>"
Jimmy Rocks,"32.7638929, -117.2365719","San Diego, CA","<a href=""https://twitter.com/rjhale/status/1118565742574596096"" target=""_blank"">Photo</a>"
Terry Griffin,"32.2181205, -7.935588","Benguerir, Morocco","<a href=""https://twitter.com/SpacePlowboy/status/1121087727938822146"" target=""_blank"">Photo</a>"
"Adam Steer, doctor of mischiefology","-35.2846834, 149.134516","Canberra, Australia","<a href=""https://twitter.com/adamdsteer/status/1125938545334542336"" target=""_blank"">Photo</a>"
Randal Hale,"35.0664954,-85.3423439",Tennessee RiverPlace,"<a href=""https://twitter.com/rjhale/status/1126566836550680576"" target=""_blank"">Photo</a>"
Bill Dollins,"29.4217956, -98.4835936","San Antonio, Texas","<a href=""https://twitter.com/spara/status/1136069736872255489"" target=""_blank"">Photo</a>"
ᴅᴇɴɪꜱᴇ ᴍᴄᴋᴇɴᴢɪᴇ,"Sutton Yard, London","London, UK","<a href=""https://twitter.com/SpatialRed/status/1141824034990120960"" target=""_blank"">Photo</a>"
Jim Barry and Atanas Entchev,"40.3969085, -73.9830261","Highlands, NJ","<a href=""https://twitter.com/atanas/status/1147941589769162753"" target=""_blank"">Photo</a>"
Bill Dollins,"52.0586972, -9.507605","Killarney, County Kerry, Ireland","<a href=""http://geohipster.com/wp-content/uploads/2019/07/Bill-Dollins-in-Killarney-Ireland.jpg"" target=""_blank"">Photo</a>"
"Adam Steer, doctor of mischiefology","-36.9759954,147.1281047","Mt. Hotham, Hotham Heights, Victoria, Australia","<a href=""https://twitter.com/adamdsteer/status/1148417875499110400"" target=""_blank"">Photo</a>"
Terry Griffin,"38.6265816, -90.2066205","St. Louis, MO","<a href=""https://twitter.com/SpacePlowboy/status/1154496477810421760"" target=""_blank"">Photo</a>"
Terry Griffin,"32.4863266,-89.6590933",Mississippi,"<a href=""http://geohipster.com/wp-content/uploads/2019/07/Terry-Griffin.jpg"" target=""_blank"">Photo</a>"
Don Meltz,"41.4558611, -70.5584102","Martha's Vineyard, MA","	
<a href=""https://twitter.com/Don_Meltz/status/1163928678297952256"" target=""_blank"">Photo</a>"
Michael Terner,"44.436761, 26.1039046","Bucharest, Romania","<a href=""https://twitter.com/TernerGeo/status/1166682881713954818"" target=""_blank"">Photo</a>"
Mike Dolbow,"44.9751217, -93.2273576","Minneapolis, MN","<a href=""https://twitter.com/geohipster/status/1169960407160774656"" target=""_blank"">Photo</a>"
